Filename,df,auv,dnp,saigv,obaa,uaf,osf,asom,rogu,bf,bd,an,da,rsva,dupv,pitfc,dbz,mlk,uav,ua,fgbo
fs/namei.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
drivers/usb/core/hub.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/bio.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sound/core/oss/pcm_oss.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/jffs2/nodelist.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kernel/cgroup.c,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net/core/rtnetlink.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers/base/bus.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fs/fat/dir.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fs/jffs2/erase.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
