Filename,dnp,uaf,auv,rsva,an,fgbo,osf,bd,uav,obaa,da,rogu,dbz,bf,ua,df,dupv,asom,pitfc,saigv,mlk
crypto/thr_id.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/engine/eng_dyn.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/idea/i_cfb64.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
apps/s_cb.c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/asn1/asn_mime.c,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
apps/x509.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/bn/bn_gcd.c,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
crypto/bn/bn_exp.c,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
crypto/cms/cms_ess.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/asn1/asn1_gen.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/des/pcbc_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/cast/c_ecb.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/evp/e_aes_cbc_hmac_sha256.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/objects/obj_dat.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/ede_cbcm_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/bn/bn_lib.c,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/ec/ec_mult.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/x509/x509_lu.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ssl/s2_srvr.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ssl/d1_both.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/des/ofb_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/bn/bn_nist.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/cast/c_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/bf/bf_ecb.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
engines/e_4758cca.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/asn1/a_bytes.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/ocsp/ocsp_lib.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
crypto/bn/bn_print.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
crypto/evp/e_aes_cbc_hmac_sha1.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto/pkcs7/pk7_doit.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/bf/bf_ofb64.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/ecb_enc.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ssl/s3_clnt.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/ofb64ede.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
apps/dsaparam.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
crypto/rc2/rc2_ecb.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ssl/s2_clnt.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/cbc_cksm.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/des/cfb64ede.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
crypto/asn1/tasn_new.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssl/s3_srvr.c,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/asn1/bio_asn1.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/asn1/tasn_dec.c,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
crypto/rsa/rsa_eay.c,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
crypto/rc2/rc2cfb64.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crypto/asn1/f_string.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
